topic,mean,std,count
religion,0.02148683990993999,0.014427182103378932,21
social_norms,0.01039980610312107,0.012348431147922686,84
celebration,0.009749554694180745,0.010709323677375463,42
family,0.007022037854259041,0.009172002835144336,63
food,0.00694214287679071,0.010435451647024698,42
community,0.006105297729709033,0.011456538832572045,42
values,0.00601200269417972,0.008494070047392525,21
daily_life,0.002529371973816412,0.006075755150676733,42
gender_roles,0.002228072055658257,0.004716047141629594,21
education,0.0011595547309832953,0.0036712315853997704,21
work,0.0,0.0,21
